date	pivot	close	tx_id	from	from quote	to	to quote	gas estimated	gas token	gas quote	gas	gas actual	gas $	rec	trade	keeping	BNB $	BNB $ total	new to-computed	new to-actual	commission	gain	BTC $	BTC $ total	gain, total $	ROI	APR
2025-03-17	4	1	https://bscscan.com/tx/0x68f9ed0f2352fe791c196f4a7d8c79f736be2a4aa2501702123faf77df9ac33f	BNB	$631.20	BTC	$83,513.00	$0.60	BNB	$631.20	0.00095	0.00093	$0.59	1.8008	1.8019	-0.0011	-$0.70	-$0.70	0.0136	0.0136	0.000180100	0.0015	$122.54	$122.54	$121.85	12.17%	317.21%
2025-03-18	5	2	https://bscscan.com/tx/0xf93f2cbab92ea8b0e4a9b473b14e7b2f0daa731b0d1f3403fefa759399fdc4ea	BNB	$632.14	BTC	$82,576.00	$0.60	BNB	$632.14	0.00095	0.00098	$0.62	1.6733	1.6733	0.0000	-$0.03	-$0.72	0.0128	0.0125	0.000334600	0.0010	$84.55	$207.09	$84.52	9.21%	258.69%
2025-03-22	6	3	https://bscscan.com/tx/0x0fc86894035c70c583a739aa9da988087258661637ec101084f33503abd98ee1	BNB	$627.78	BTC	$84,126.00	$0.60	BNB	$627.78	0.00096	0.00074	$0.46	1.6759	1.6757	0.0002	$0.12	-$0.60	0.0125	0.0125	0.000614400	0.0011	$88.90	$295.99	$89.02	9.28%	211.71%
2025-04-21	8	4	https://bscscan.com/tx/0x7dc42f489a97c53d62b3b26317412a72c99dfb3c7a4e95fd12c5e509559547d5	BTC	$87,269.00	BNB	$602.06	$0.60	BNB	$602.06	0.00100	0.00059	$0.35	0.0124	0.0124	0.0000	$101.86	$101.26	1.7974	1.8265	0.0000074	0.1692	$3.70	$299.69	$105.56	10.55%	110.02%
2025-05-05	3	5	https://bscscan.com/tx/0x606d79233b46cf012508c257b4f68e53198216d1cf38819ce108d9a36cb75f9a	BTC	$94,365.00	BNB	$596.04	$0.60	BNB	$596.04	0.00101	0.00061	$0.36	0.0119	0.0119	0.0000	$1,124.37	$1,225.62	1.8840	1.8864	0.0000060	1.8864	-$4.04	$295.65	$1,120.32	113.97%	611.73%
2025-05-05	2	6	https://bscscan.com/tx/0x0e91dc9f23bddea084f690d7d010f01efaf741e2ae278eba08316bffee0f5d38	BTC	$94,365.00	BNB	$596.04	$0.60	BNB	$596.04	0.00101	0.00051	$0.30	0.0114	0.0114	0.0000	$111.63	$1,337.26	1.8048	1.8073	0.0000057	0.1873	$0.85	$296.50	$112.49	11.64%	61.58%
2025-05-08	1	7	https://bscscan.com/tx/0x1b2c475b94a131027202ec54092c44593ae618c835d151023d98824301a05aed	BTC	$99,454.00	BNB	$615.83	$0.60	BNB	$615.83	0.00097	0.00078	$0.48	0.0104	0.0104	0.0000	$130.56	$1,467.82	1.6796	1.7120	0.0000062	0.2120	-$0.44	$296.06	$130.13	14.10%	72.47%
2025-05-08	7	8	https://bscscan.com/tx/0x966f657b86512fa1bf1d73dc76f8d4940d0afbe62b69043318fb4140afba31cf	BTC	$99,454.00	BNB	$615.83	$0.60	BNB	$615.83	0.00097	0.00053	$0.33	0.0116	0.0116	0.0000	$135.84	$1,603.66	1.8734	1.9106	0.0000058	0.2206	-$2.02	$294.04	$133.82	12.88%	77.05%
2025-10-02	9,10,11,12,14,16	9	https://bscscan.com/tx/0xacc4ba34c93c5244da3afe2674b561cf225a302059bc7cac007e4e2cc2ee946d	BNB	$1,060.19	BTC	$119,321.00	$0.02	BNB	$1,060.19	0.00002	0.00002	$0.02	8.5324	8.5324	0.0000	$0.03	$1,603.69	0.0758	0.0785	0.0042680	0.0230	$2,745.79	$3,039.83	$2,745.82	41.45%	96.05%
2025-10-07	22	10	https://bscscan.com/tx/0x40c129a64846bc11276e4c0bb97d24abc5013fd5038527019c17e2d4db6ea37e	BNB	$1,319.72	BTC	$124,544.00	$0.02	BNB	$1,319.72	0.00002	0.00001	$0.02	0.4912	0.4912	0.0000	-$0.03	$1,603.66	0.0052	0.0053	0.000246	0.0008	$98.77	$3,138.60	$98.74	17.62%	1286.16%
2025-12-11	23	11	https://bscscan.com/tx/0xabd02fef427861c476448f99d2b15b128bff5602bc2f152be028f2a6cb57fcca	BTC	$90,232.00	BNB	$866.47	$0.01	BNB	$866.47	0.00001	0.00001	$0.01	0.008203	0.008203	0.0000	$81.05	$1,684.71	0.8542	0.8485	0.000004	0.0935	-$0.01	$3,138.59	$81.04	12.39%	69.57%
