date	AVAX	AVAX quote	AVAX $	AVAX %	factor γAVAX	γAVAX	USDC	USDC quote	USDC $	USDC %	factor γUSDC	γUSDC	total	Total	Total without trades	diff
2025-10-14	-9.6841	$22.58	-$218.64	-3.16%	0.20	-1.89	7133.52	$1.00	$7,133.52	103.16%	0.011	76.78	74.89	$6,914.89	$9,971.99	-$3,057.11
2025-09-24	3.4959	$34.16	$119.42	1.50%	0.20	0.68	7840.45	$1.00	$7,840.45	98.50%	0.011	84.39	85.07	$7,959.87	$11,753.27	-$3,793.40
2025-06-20	288.0582	$17.35	$5,056.76	71.28%	0.20	56.93	2037.94	$1.00	$2,037.94	28.72%	0.011	21.93	78.87	$7,094.70	$9,168.16	-$2,073.46
2025-06-18	288.0582	$18.15	$5,229.29	71.87%	0.20	56.27	2046.95	$1.00	$2,046.95	28.13%	0.011	22.03	78.30	$7,276.24	$9,291.74	-$2,015.49
2025-06-15	205.3275	$19.72	$4,049.50	52.75%	0.22	45.52	3627.10	$1.00	$3,627.10	47.25%	0.011	40.77	86.29	$7,676.60	$8,896.64	-$1,220.04
2025-05-10	179.1007	$25.19	$4,511.55	52.26%	0.28	50.89	4120.54	$1.00	$4,120.54	47.74%	0.011	45.12	96.01	$8,632.09	$9,026.46	-$394.37
2025-04-21	224.7934	$20.03	$4,501.51	59.31%	0.28	63.87	3088.07	$1.00	$3,088.07	40.69%	0.011	33.81	97.69	$7,589.58	$8,303.40	-$713.82
2025-03-31	277.8442	$18.67	$5,187.35	72.18%	0.28	78.95	1999.56	$1.00	$1,999.56	27.82%	0.011	21.89	100.84	$7,186.91	$8,113.70	-$926.79
2025-03-18	304.1290	$18.52	$5,632.47	78.97%	0.28	86.41	1499.92	$1.00	$1,499.92	21.03%	0.011	16.42	102.84	$7,132.39	$8,092.70	-$960.31
2025-03-13	358.4218	$18.50	$6,629.09	86.89%	0.28	101.84	1000.48	$1.00	$1,000.48	13.11%	0.011	10.95	112.80	$7,629.57	$8,089.23	-$459.66
2025-03-11	357.9773	$17.12	$6,128.57	92.47%	0.28	101.72	499.06	$1.00	$499.06	7.53%	0.011	5.46	107.18	$6,627.63	$7,896.71	-$1,269.08
2025-02-25	386.5870	$22.19	$8,578.37	100.00%	0.28	109.84	0.00	$1.00	$0.00	0.00%	0.011	0.00	109.84	$8,578.37	$8,606.48	-$28.11
2025-02-22	340.8932	$25.61	$8,730.28	89.72%	0.28	96.86	1000.00	$1.00	$1,000.00	10.28%	0.011	10.95	107.81	$9,730.28	$9,085.26	$645.02
2025-02-19	312.0276	$23.72	$7,401.30	80.88%	0.28	88.66	1750.00	$1.00	$1,750.00	19.12%	0.011	19.16	107.82	$9,151.30	$8,820.67	$330.63
2025-02-17	270.6961	$25.54	$6,913.58	71.54%	0.28	76.92	2750.00	$1.00	$2,750.00	28.46%	0.011	30.11	107.03	$9,663.58	$9,075.46	$588.12
2025-02-14	230.3072	$25.54	$5,882.05	61.07%	0.28	65.44	3750.00	$1.00	$3,750.00	38.93%	0.011	41.06	106.50	$9,632.05	$9,075.46	$556.59
2025-02-13	192.1655	$25.54	$4,907.91	64.09%	0.35	66.49	2750.00	$1.00	$2,750.00	35.91%	0.014	37.26	103.75	$7,657.91	$7,380.98	$276.93
2025-01-24	85.5634	$36.31	$3,106.81	47.02%	0.55	47.07	3500.00	$1.00	$3,500.00	52.98%	0.02	52.93	100.00	$6,606.81	$6,606.81	$0.00
2025-01-23	85.5634	$36.38	$3,112.80	47.07%	0.55	47.07	3500.00	$1.00	$3,500.00	52.93%	0.02	52.93	100.00	$6,612.80	$6,612.80	$0.00
