date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	USDC	USDC quote	USDC $	USDC %	factor γUSDC	γUSDC	total	Total	Total without trades	diff
2025-06-26	0.0514	$107,377.00	$5,519.18	52.40%	868.90	44.66	5014.35	$1.00	$5,014.35	47.60%	0.008	40.58	85.24	$10,533.53	$12,357.82	-$1,824.29
2025-06-20	0.0490	$104,214.00	$5,106.49	53.11%	917.41	44.95	4509.18	$1.00	$4,509.18	46.89%	0.009	39.53	84.49	$9,615.67	$11,384.01	-$1,768.34
2025-06-19	0.0393	$104,640.00	$4,112.35	42.68%	917.41	36.05	5522.32	$1.00	$5,522.32	57.32%	0.009	48.42	84.47	$9,634.67	$11,406.02	-$1,771.35
2025-06-18	0.0297	$104,767.00	$3,110.48	32.29%	967.44	28.72	6522.82	$1.00	$6,522.82	67.71%	0.010	65.25	93.98	$9,633.30	$10,412.58	-$779.28
2025-05-24	0.0202	$108,855.00	$2,194.78	22.62%	967.44	19.51	7509.86	$1.00	$7,509.86	77.38%	0.010	75.13	94.63	$9,704.63	$10,623.78	-$919.14
2025-05-22	0.0155	$111,192.00	$1,727.89	17.74%	967.44	15.03	8009.86	$1.00	$8,009.86	82.26%	0.010	80.13	95.16	$9,737.75	$10,744.51	-$1,006.77
2025-05-13	0.0513	$102,932.00	$5,279.42	53.93%	967.44	49.62	4510.04	$1.00	$4,510.04	46.07%	0.010	45.12	94.74	$9,789.46	$10,317.78	-$528.32
2025-05-08	0.0462	$102,932.00	$4,752.88	48.52%	967.44	44.67	5042.92	$1.00	$5,042.92	51.48%	0.010	50.45	95.12	$9,795.80	$10,317.78	-$521.98
2025-05-05	0.0527	$94,365.00	$4,968.38	52.42%	967.44	50.94	4510.05	$1.00	$4,510.05	47.58%	0.010	45.12	96.05	$9,478.43	$9,875.18	-$396.75
2025-04-28	0.0581	$95,338.00	$5,534.43	58.02%	967.44	56.16	4003.81	$1.00	$4,003.81	41.98%	0.010	40.05	96.21	$9,538.24	$9,925.45	-$387.21
2025-04-21	0.0686	$87,269.00	$5,982.34	66.55%	967.44	66.32	3006.76	$1.00	$3,006.76	33.45%	0.010	30.08	96.40	$8,989.11	$9,508.58	-$519.47
2025-04-17	0.0801	$84,786.00	$6,787.17	77.19%	967.44	77.44	2005.13	$1.00	$2,005.13	22.81%	0.010	20.06	97.50	$8,792.30	$9,380.30	-$588.00
2025-03-13	0.0919	$82,862.00	$7,610.93	88.33%	967.44	88.86	1005.68	$1.00	$1,005.68	11.67%	0.010	10.06	98.92	$8,616.61	$9,280.90	-$664.29
2025-03-11	0.0980	$80,668.00	$7,902.29	93.98%	967.44	94.77	506.41	$1.00	$506.41	6.02%	0.010	5.07	99.84	$8,408.70	$9,167.55	-$758.86
2025-02-25	0.1041	$88,637.00	$9,223.62	100.00%	967.44	100.67	0.00	$1.00	$0.00	0.00%	0.010	0.00	100.67	$9,223.62	$9,579.25	-$355.63
2025-02-22	0.0927	$96,708.00	$8,967.24	89.97%	967.44	89.71	1000.00	$1.00	$1,000.00	10.03%	0.010	10.00	99.71	$9,967.24	$9,996.23	-$28.99
2025-02-19	0.0720	$96,197.00	$6,928.48	87.39%	1207.16	86.94	1000.00	$1.00	$1,000.00	12.61%	0.013	12.55	99.49	$7,928.48	$7,968.80	-$40.32
2025-02-16	0.0515	$96,325.00	$4,957.32	83.21%	1620.75	83.41	1000.00	$1.00	$1,000.00	16.79%	0.017	16.59	100.00	$5,957.32	$5,985.11	-$27.79
2025-02-15	0.0411	$96,611.00	$3,967.76	66.49%	1620.75	66.56	2000.00	$1.00	$2,000.00	33.51%	0.017	33.18	99.74	$5,967.76	$5,993.97	-$26.21
2025-02-14	0.0308	$96,611.00	$2,978.90	74.87%	2421.61	74.67	1000.00	$1.00	$1,000.00	25.13%	0.025	25.07	99.73	$3,978.90	$3,989.51	-$10.61
2025-02-13	0.0103	$96,171.00	$990.56	49.76%	4831.35	49.76	1000.00	$1.00	$1,000.00	50.24%	0.050	50.24	100.00	$1,990.56	$1,990.56	$0.00
